proyecto_id,fecha,titulo,tipo,importante,participantes,resumen,insights,actions
alicia,2026-03-30,Reunión interna de alineación,reunion,SI,"Mara Schmitman|Juan|Lucía|Sasan Maniei","Identificación de Alicia como contacto clave. Ventana limitada antes de 15 días de vacaciones. Restricción crítica: PeopleSoft en implementación.","Alicia maneja firmas físicas y macros de Excel — alto potencial de automatización|PeopleSoft tiene módulo nativo PeopleSign que no se está usando|Cálculo de bonus para España es manual y propenso a errores|Sin portal de autoservicio para stock options|Transferencia de conocimiento es un punto de falla crítico","Coordinar reunión discovery con Alicia antes de vacaciones::Juan / Lucía / Sasan::Semana del 6 abr::open|Investigar PeopleSign como alternativa a DocuSign::Equipo::Antes de reunión Alicia::open|Preparar guía de preguntas de discovery::Mara::Antes de reunión Alicia::open"
alicia,2026-02-01,Propuesta de diagnóstico HR,entregable,NO,"Mara Schmitman|Sasan Maniei","Propuesta de servicios para diagnóstico de procesos HR. Alcance: ~45.000 colaboradores multi-país.","Alcance total: ~45.000 colaboradores en múltiples países|Oportunidad de estructurar backlog de quick wins|Necesidad de mapear integraciones ATS-HRIS-LMS actuales","Entregar propuesta formal de diagnóstico::Mara::feb 2026::done"
romy,2026-03-03,Benchmark con Philips — María Pía Logiovane,benchmark,SI,"Mara Schmitman|Lucía|María Pía Logiovane (Philips — Head of HR LATAM)","Entrevista de benchmark con Head of HR Latin America de Philips sobre modelo de movilidad internacional.","En LATAM la movilidad es reactiva — se activa por necesidad de negocio no por programa estructurado|Philips preserva antigüedad y ofrece visita previa apoyo en vivienda colegio y banco|Gross-up de impuestos y allowances diferenciados por nivel corporativo y familia|El retorno no siempre está cubierto — genera zona gris entre países|Proveedor relocation: Alter. Fiscal: Deloitte. Visas: firmas locales|Clawback activo si el colaborador se va antes de cierto plazo","Documentar modelo Philips como benchmark base::Lucía::mar 2026::done|Identificar empresas financieras para benchmark complementario::Lucía::abr 2026::open"
romy,2026-02-15,Entrega manual y análisis comparativo,entregable,NO,"Mara Schmitman|Lucía|Romy (Credicorp)","Equipo entregó Mobility Handbook y análisis comparativo. Proyecto estancado al no coordinarse reuniones con Talento.","Manual y análisis entregados y validados por Romy|El bloqueo es de coordinación interna de Credicorp no de calidad del trabajo|Romy no escaló el tema con el equipo de Talento — causa a investigar","Solicitar entregable formal a Romy para liderazgo::Juan / Lucía / Sasan::Próxima reunión::open|Presionar coordinación con equipo de Talento::Romy::Pendiente::open"
romy,2026-02-10,Kickoff análisis de movilidad,reunion,NO,"Mara Schmitman|Romy (Credicorp)|Sasan Maniei","Análisis inicial del estado de movilidad. Detección de ausencia de modelo estructurado.","Credicorp opera movilidad caso a caso sin política formal integrada|La intención declarada es pasar a un modelo estratégico|El Hub Brasil aumenta la urgencia de tener un modelo claro","Mapear movimientos internacionales actuales de Credicorp::Romy::feb 2026::done"
brasil,2026-03-25,Benchmark con Accenture,benchmark,SI,"Lucía|Referente Accenture SP","Sesión de benchmark sobre propuesta de valor para talento digital en São Paulo.","Accenture ofrece bono de performance variable del 15-25% para perfiles tech senior|Modelo híbrido 3+2 es el estándar consolidado en SP para tech|Employer branding digital es diferenciador clave|Beneficios destacados: seguro médico familiar vale alimentación PLR","Incorporar datos de Accenture al heatmap comparativo de EVP::Lucía::abr 2026::open"
brasil,2026-03-17,Benchmark con Mercado Libre,benchmark,NO,"Juan|Referente Mercado Libre Brasil","Entrevista sobre atracción de talento digital en Brasil.","MeLi es el referente más aspiracional para talento tech en LATAM|Velocidad de hiring y cultura de ownership son diferenciadores|Stock options / equity son componente clave para perfiles senior|MeLi ofrece trabajo 100% remoto para algunos roles tech","Analizar qué componentes de MeLi son replicables para Credicorp::Lucía::abr 2026::open"
brasil,2026-02-01,Documento piso de EVP en Brasil,entregable,NO,"Mara Schmitman|Lucía","Documento base con piso mínimo de EVP que Credicorp necesita ofrecer en SP.","Marco legal CLT establece mínimos — el mercado tech ofrece significativamente más|Brecha inicial en beneficios flexibles y compensación variable|Employer branding de Credicorp en Brasil es prácticamente inexistente hoy","Validar piso de EVP con datos actualizados de benchmarks::Lucía::abr 2026::open"
desempeno,2025-12-01,Inicio del diagnóstico de desempeño,reunion,SI,"Mara Schmitman|Sasan Maniei","Apertura del proyecto dentro del Frente B de transformación HR de Credicorp.","Proceso de evaluación no está estandarizado entre unidades de negocio|La conexión entre performance y compensación variable no es transparente|OKRs existen en algunas áreas pero no hay framework global consistente|Upskilling y reskilling son prioritarios dado el crecimiento regional","Confirmar alcance exacto del diagnóstico con Credicorp::Sasan / Mara::abr 2026::open|Mapear herramientas actuales de performance management::Por asignar::Pendiente::open"
alicia,2026-06-03,Bench onboarding — Nubank,benchmark,SI,"Renzo Montuori (Nubank)|Mara|equipo +Partners|Credicorp","Benchmark de onboarding ejecutivo con Nubank para el frente Onboarding TOPS.","Input directo para el diseño del journey de onboarding ejecutivo","Consolidar aprendizajes en el diseño del forms::Equipo::jul 2026::open"
alicia,2026-06-18,Bench onboarding — Banco Galicia,benchmark,SI,"Alejandra Iglesias (Galicia)|Mara|Credicorp|BCP","Benchmark de onboarding con Banco Galicia.","Follow-up acordado con People Ops de Galicia","Follow-up People Ops Galicia::Equipo::jul 2026::open"
alicia,2026-06-24,Bench onboarding — Santander,benchmark,SI,"Agustín Rojas (Santander)|Mara|Credicorp|BCP","Cierre del bench externo de onboarding ejecutivo (Nubank + Galicia + Santander).","Bench externo de primer nivel completo","Diseño del journey con insights del bench::Equipo::jul-ago 2026::open"
brasil,2026-06-19,TMF Group — servicios de nómina,reunion,SI,"Lucila Guelfo|Benito Juárez (TMF)|Mara|Lucía|Danilo Primo","Presentación de datos y condiciones de TMF para la nómina del Hub.","TMF: ISO 27001 + ISAE 3402 · foro Brasil · 60-90 días implementación|KYC firmado el 30-jun — fase de contratación","Completar precios en contrato + aprobación Compliance::Lu / TMF::jul 2026::open"
brasil,2026-06-22,Plan de Change — Hub Brasil,reunion,SI,"Lucila Guelfo|Mara|Sasan|Pablo Silva","Presentación del plan de change management: matriz de riesgos + modelo de acompañamiento.","5 momentos del journey · 3 pilares|Comunicación adelantada + 1:1 TOPS como primer paso","Handbook qué cambia / qué no + FAQ IA::+Partners::jul-ago 2026::open"
brasil,2026-07-02,Status de proyectos con Pablo Silva,reunion,SI,"Pablo Silva|Mara|equipo +Partners","Repaso de los 4 frentes a 8 meses de programa. Prioridad 2-3 semanas: foco total Hub Brasil.","~90 reuniones documentadas · +25 organizaciones externas · 14 de 40 iniciativas tocadas|Decisión nómina Auxadi vs TMF en ≤2 semanas|GiseGPT sigue esperando empuje de Pablo a IT","Cerrar nómina + screening SST + plan change::Equipo::jul 2026::open"
